MWP	ONames	GLON	GLAT	iXdiam	iYdiam	oXdiam	Reff	Thick	Ecc	PA	Hit	Disp	Flag	_RA.icrs	_DE.icrs
1G031468-007862	                    	031.468	-00.786	 2.849	  2.428	 4.674	 1.72	 1.83	 0.523	 26	 0.13	 0.011	   	282.8916	-01.6612
1G331149+001163	                    	331.149	+00.116	 0.469	  0.465	 0.707	 0.29	 0.24	 0.138	  0	 0.13	 0.001	   	242.3751	-51.5637
1G008198-000540	                    	008.198	-00.054	 1.227	  0.932	 1.870	 0.68	 0.64	 0.650	  3	 0.13	 0.003	   	271.0473	-21.8887
1G045071-005855	                    	045.071	-00.585	 2.775	  3.150	 3.755	 1.71	 0.98	 0.474	 45	 0.13	 0.011	   	288.9881	+10.5146
1G015018+000667	N17                 	015.018	+00.067	 0.534	  0.536	 1.142	 0.39	 0.61	 0.072	  0	 0.13	 0.001	2  	274.4131	-15.8557
1G033143-000864	                    	033.143	-00.086	 0.511	  0.511	 0.972	 0.35	 0.46	 0.000	  0	 0.13	 0.003	2  	283.0323	+00.1486
1G320674+002829	                    	320.674	+00.283	 2.845	  3.564	 4.185	 1.91	 1.34	 0.602	 65	 0.13	 0.013	2  	227.6448	-57.7144
1G353414-003839	CS55                	353.414	-00.384	 0.976	  1.082	 1.765	 0.68	 0.79	 0.431	 43	 0.13	 0.009	2  	262.6361	-34.7056
1G317328-000458	                    	317.328	-00.046	 3.065	  3.171	 4.862	 1.96	 1.80	 0.256	 13	 0.13	 0.007	   	222.2753	-59.5881
1G333213-003894	                    	333.213	-00.389	 1.822	  1.983	 2.649	 1.14	 0.83	 0.395	 97	 0.13	 0.002	   	245.3017	-50.5012
1G345099-006109	                    	345.099	-00.611	 0.607	  0.610	 1.196	 0.43	 0.59	 0.101	  2	 0.13	 0.001	2  	256.7859	-41.6421
1G309154+000746	                    	309.154	+00.075	 3.492	  3.405	 5.106	 2.09	 1.61	 0.222	 20	 0.13	 0.005	2  	206.2731	-62.1468
1G034870-000839	                    	034.870	-00.084	 1.669	  1.760	 2.673	 1.08	 1.00	 0.318	 36	 0.13	 0.005	   	283.8183	+01.6865
1G017290-002020	                    	017.290	-00.202	 0.769	  0.751	 1.190	 0.47	 0.42	 0.218	 11	 0.13	 0.003	2  	275.7675	-13.9791
1G358797-004324	                    	358.797	-00.432	 2.538	  1.282	 4.612	 1.37	 2.07	 0.863	123	 0.13	 0.003	   	266.1065	-30.1877
1G318225-005702	                    	318.225	-00.570	 1.551	  1.604	 2.769	 1.05	 1.22	 0.254	 35	 0.13	 0.007	   	224.3256	-59.6513
1G327914-005164	                    	327.914	-00.516	 0.827	  0.852	 1.429	 0.55	 0.60	 0.240	  7	 0.13	 0.002	   	239.0381	-54.1736
1G047757+006116	                    	047.757	+00.612	 1.967	  2.385	 2.739	 1.27	 0.77	 0.565	 69	 0.13	 0.003	   	289.1852	+13.4489
1G315367+005957	                    	315.367	+00.596	 2.331	  2.523	 4.178	 1.61	 1.85	 0.383	 20	 0.13	 0.010	   	218.2080	-59.8051
1G042526-005558	                    	042.526	-00.556	 1.508	  1.676	 2.279	 0.97	 0.77	 0.436	 88	 0.13	 0.006	   	287.7654	+08.2736
1G031532-001273	                    	031.532	-00.127	 2.550	  2.559	 4.130	 1.62	 1.58	 0.083	 17	 0.13	 0.013	   	282.3341	-01.3038
1G009611+001985	CN134,CN135,CN136   	009.611	+00.198	 1.884	  1.756	 3.094	 1.17	 1.21	 0.362	  0	 0.13	 0.007	1  	271.5537	-20.5333
1G307083+005410	                    	307.083	+00.541	 0.875	  0.795	 1.495	 0.55	 0.62	 0.419	 16	 0.13	 0.003	   	201.7417	-62.0441
1G005695-000919	                    	005.695	-00.092	 0.548	  0.587	 1.219	 0.42	 0.67	 0.358	 14	 0.13	 0.004	   	269.7377	-24.0826
1G337995+000807	                    	337.995	+00.081	 1.441	  1.441	 2.001	 0.85	 0.56	 0.026	  3	 0.13	 0.003	1  	249.7600	-46.7046
1G004530+003630	                    	004.530	+00.363	 0.717	  0.706	 1.155	 0.45	 0.44	 0.175	 26	 0.13	 0.002	   	268.6627	-24.8617
1G004275+000372	CN55,CN54           	004.275	+00.037	 2.452	  2.472	 3.754	 1.52	 1.30	 0.125	 12	 0.13	 0.006	   	268.8311	-25.2464
1G324621-003140	                    	324.621	-00.314	 0.558	  0.570	 0.968	 0.37	 0.41	 0.202	  0	 0.13	 0.001	2  	234.2846	-56.0439
1G346416+002582	                    	346.416	+00.258	 0.543	  0.586	 0.962	 0.37	 0.42	 0.375	 23	 0.13	 0.002	   	256.9120	-40.0671
1G028438+000371	                    	028.438	+00.037	 0.651	  0.626	 1.174	 0.43	 0.52	 0.274	 12	 0.13	 0.003	   	280.7740	-03.9818
1G060535-002915	                    	060.535	-00.291	 2.922	  3.144	 4.080	 1.78	 1.16	 0.369	 59	 0.13	 0.005	   	296.5455	+24.2079
1G050067-002920	N104                	050.067	-00.292	 2.941	  2.950	 4.005	 1.72	 1.06	 0.079	 32	 0.13	 0.020	1  	291.1284	+15.0633
1G059623-002231	                    	059.623	-00.223	 0.665	  0.701	 1.434	 0.50	 0.77	 0.316	 37	 0.13	 0.001	   	295.9821	+23.4524
1G040178-000642	                    	040.178	-00.064	 1.065	  0.810	 1.646	 0.60	 0.58	 0.650	 99	 0.13	 0.003	   	286.2348	+06.4160
1G042835+002473	                    	042.835	+00.247	 1.262	  0.878	 2.283	 0.75	 1.02	 0.719	 54	 0.13	 0.003	   	287.1892	+08.9183
1G317213+001025	S107                	317.213	+00.103	 0.778	  0.732	 1.203	 0.47	 0.42	 0.340	  0	 0.13	 0.002	   	221.9431	-59.5039
1G028708+000208	                    	028.708	+00.021	 1.681	  1.857	 2.269	 1.02	 0.59	 0.425	  4	 0.13	 0.013	   	280.9120	-03.7489
1G050015-000475	                    	050.015	-00.047	 3.507	  4.045	 5.365	 2.31	 1.86	 0.498	 25	 0.13	 0.020	   	290.8794	+15.1334
1G042439-002668	                    	042.439	-00.267	 0.997	  1.084	 1.607	 0.66	 0.61	 0.393	 14	 0.13	 0.009	2  	287.4658	+08.3299
1G018583+003447	                    	018.583	+00.345	 0.780	  0.778	 1.256	 0.49	 0.48	 0.069	 19	 0.13	 0.002	   	275.8939	-12.5806
1G031559+002109	                    	031.559	+00.211	 1.005	  1.105	 2.226	 0.77	 1.22	 0.416	 71	 0.13	 0.002	   	282.0455	-01.1256
1G351557+002099	CS83                	351.557	+00.210	 3.204	  3.142	 5.220	 2.03	 2.02	 0.196	 16	 0.13	 0.010	1  	260.7625	-35.9155
1G037899+000984	                    	037.899	+00.098	 1.849	  1.672	 3.286	 1.19	 1.44	 0.427	 28	 0.13	 0.007	   	285.0415	+04.4643
1G014380-000638	                    	014.380	-00.064	 2.393	  2.308	 3.770	 1.48	 1.38	 0.264	 20	 0.13	 0.006	2  	274.2177	-16.4794
1G022303+004514	                    	022.303	+00.451	 2.981	  2.579	 4.422	 1.71	 1.44	 0.502	 76	 0.13	 0.005	   	277.5632	-09.2395
1G049586-003526	                    	049.586	-00.353	 0.893	  0.659	 1.461	 0.51	 0.57	 0.674	  0	 0.13	 0.001	2  	290.9486	+14.6107
1G031915+001943	                    	031.915	+00.194	 0.590	  0.607	 1.053	 0.40	 0.46	 0.232	 15	 0.13	 0.004	2  	282.2231	-00.8166
1G301712-000616	                    	301.712	-00.062	 0.745	  0.747	 1.331	 0.50	 0.59	 0.074	  2	 0.13	 0.003	   	190.1800	-62.9084
1G302770-007870	                    	302.770	-00.787	 0.646	  0.648	 1.274	 0.45	 0.63	 0.075	  0	 0.13	 0.001	2  	192.4946	-63.6583
1G019208+008737	                    	019.208	+00.874	 1.577	  1.653	 2.453	 1.00	 0.88	 0.299	 10	 0.13	 0.004	   	275.7156	-11.7806
1G032929+006055	                    	032.929	+00.605	 0.942	  0.946	 1.688	 0.63	 0.75	 0.094	  0	 0.13	 0.002	   	282.3197	+00.2733
1G037848-006613	                    	037.848	-00.661	 2.464	  2.546	 4.811	 1.74	 2.35	 0.252	 27	 0.13	 0.007	   	285.6948	+04.0716
1G062624+004279	                    	062.624	+00.428	 1.255	  1.320	 1.851	 0.78	 0.60	 0.310	 62	 0.13	 0.002	   	297.0225	+26.3747
1G028341+006197	                    	028.341	+00.620	 1.666	  1.625	 2.620	 1.03	 0.95	 0.219	  0	 0.13	 0.005	   	280.2099	-03.8013
1G007339-001747	                    	007.339	-00.175	 0.660	  0.686	 1.228	 0.46	 0.57	 0.274	 24	 0.13	 0.002	2  	270.7044	-22.6961
1G017016+004239	                    	017.016	+00.424	 0.948	  0.683	 1.499	 0.53	 0.55	 0.694	 19	 0.13	 0.002	   	275.0655	-13.9265
1G298568-008511	                    	298.568	-00.851	 0.857	  1.019	 1.343	 0.58	 0.49	 0.541	 35	 0.13	 0.003	   	183.0795	-63.3908
1G047706+005321	                    	047.706	+00.532	 5.617	  4.757	 7.789	 3.09	 2.17	 0.532	 33	 0.13	 0.019	   	289.2335	+13.3665
1G043269-001990	N88                 	043.269	-00.199	 1.533	  0.937	 3.140	 0.93	 1.61	 0.792	 84	 0.13	 0.009	   	287.7926	+09.0974
1G307589+005285	                    	307.589	+00.528	 0.938	  0.970	 1.407	 0.58	 0.47	 0.254	 81	 0.13	 0.002	   	202.8125	-61.9832
1G323932-000355	                    	323.932	-00.035	 1.452	  1.619	 2.599	 1.01	 1.15	 0.442	 46	 0.13	 0.004	2  	232.9876	-56.2174
1G038254+005830	                    	038.254	+00.583	 0.888	  0.903	 1.284	 0.54	 0.40	 0.181	  0	 0.13	 0.002	   	284.7714	+05.0017
1G011574+004148	                    	011.574	+00.415	 0.813	  0.821	 1.325	 0.52	 0.51	 0.138	  0	 0.13	 0.003	   	272.3653	-18.7123
1G297805-004452	                    	297.805	-00.445	 0.873	  1.218	 1.328	 0.63	 0.45	 0.698	 17	 0.13	 0.003	2  	181.5603	-62.8660
1G010287+000780	                    	010.287	+00.078	 1.837	  2.049	 2.731	 1.17	 0.89	 0.443	 53	 0.13	 0.005	   	272.0164	-20.0013
1G037390+000117	                    	037.390	+00.012	 0.908	  0.734	 1.386	 0.52	 0.48	 0.589	 35	 0.13	 0.003	   	284.8848	+03.9723
1G343435-002773	                    	343.435	-00.277	 0.805	  0.817	 1.341	 0.52	 0.54	 0.170	  2	 0.13	 0.001	   	255.0610	-42.7591
1G304643-006781	                    	304.643	-00.678	 0.968	  0.938	 1.415	 0.58	 0.45	 0.247	  0	 0.13	 0.002	   	196.6961	-63.4988
1G329822+001284	                    	329.822	+00.128	 0.484	  0.484	 0.743	 0.30	 0.26	 0.000	  0	 0.13	 0.001	   	240.7593	-52.4421
1G038265+006216	                    	038.265	+00.622	 0.478	  0.476	 0.711	 0.29	 0.23	 0.074	  0	 0.13	 0.001	   	284.7416	+05.0293
1G302259+006301	                    	302.259	+00.630	 1.060	  1.166	 1.564	 0.67	 0.50	 0.416	  3	 0.13	 0.003	   	191.4150	-62.2342
1G306030-002384	                    	306.030	-00.238	 1.251	  1.183	 2.374	 0.84	 1.12	 0.324	 16	 0.13	 0.003	   	199.6836	-62.9454
1G044283+002070	                    	044.283	+00.207	 2.551	  2.306	 4.029	 1.54	 1.48	 0.428	 89	 0.13	 0.007	   	287.9032	+10.1842
1G299633+001938	                    	299.633	+00.194	 0.866	  0.780	 1.826	 0.61	 0.96	 0.434	 50	 0.13	 0.006	   	185.7018	-62.4942
1G331810+001528	                    	331.810	+00.153	 0.637	  0.637	 1.208	 0.44	 0.57	 0.000	  0	 0.13	 0.002	   	243.1098	-51.0867
1G346983+000704	                    	346.983	+00.070	 6.075	  6.666	 8.929	 3.83	 2.85	 0.412	 30	 0.13	 0.015	2  	257.5497	-39.7244
1G053501+000644	                    	053.501	+00.064	 2.064	  1.769	 3.064	 1.18	 1.00	 0.515	 36	 0.13	 0.005	   	292.5103	+18.2518
1G332823-005444	                    	332.823	-00.544	 0.868	  1.006	 1.296	 0.57	 0.43	 0.505	 26	 0.13	 0.006	2  	245.0370	-50.8859
1G330289+006576	                    	330.289	+00.658	 4.208	  4.518	 6.884	 2.77	 2.68	 0.364	 10	 0.13	 0.033	2  	240.7604	-51.7358
1G034697-006506	                    	034.697	-00.651	 0.738	  0.894	 1.387	 0.55	 0.65	 0.563	 24	 0.13	 0.002	2  	284.2440	+01.2738
1G307756+003556	                    	307.756	+00.356	 1.981	  2.107	 3.287	 1.31	 1.31	 0.341	  2	 0.13	 0.004	   	203.2221	-62.1269
1G000584-008684	CN16                	000.584	-00.868	 0.692	  0.744	 1.097	 0.45	 0.40	 0.367	 17	 0.13	 0.002	2  	267.5987	-28.8847
1G307494+002435	                    	307.494	+00.243	 1.456	  1.447	 2.338	 0.92	 0.88	 0.115	 27	 0.13	 0.004	   	202.7050	-62.2794
1G321827-006279	                    	321.827	-00.628	 0.733	  0.794	 1.302	 0.50	 0.57	 0.384	 28	 0.13	 0.002	   	230.3841	-57.8843
1G356278-000799	                    	356.278	-00.080	 0.718	  0.714	 1.359	 0.49	 0.64	 0.100	  1	 0.13	 0.003	   	264.1965	-32.1367
1G314335-000065	                    	314.335	-00.006	 2.130	  2.187	 3.499	 1.38	 1.37	 0.226	 32	 0.13	 0.009	2  	216.7247	-60.7467
1G005047-001943	                    	005.047	-00.194	 0.811	  0.755	 1.437	 0.53	 0.63	 0.364	 10	 0.13	 0.002	   	269.4793	-24.6949
1G325077+002002	                    	325.077	+00.200	 1.960	  1.967	 2.632	 1.14	 0.67	 0.088	 44	 0.13	 0.005	   	234.4005	-55.3599
1G353468-001339	                    	353.468	-00.134	 2.995	  2.865	 4.606	 1.82	 1.61	 0.292	 48	 0.13	 0.007	   	262.4188	-34.5228
1G007114-003345	                    	007.114	-00.335	 2.259	  2.299	 3.620	 1.44	 1.36	 0.186	 55	 0.13	 0.009	2  	270.7351	-22.9707
1G339240+000080	                    	339.240	+00.008	 0.590	  0.605	 0.984	 0.38	 0.39	 0.220	 17	 0.13	 0.001	   	251.0286	-45.8179
1G034450-001610	                    	034.450	-00.161	 8.091	  7.675	 9.933	 4.38	 1.84	 0.317	 51	 0.13	 0.023	1  	283.6951	+01.2776
1G334537-005672	                    	334.537	-00.567	 0.675	  0.663	 1.196	 0.45	 0.52	 0.190	  2	 0.13	 0.003	   	246.9460	-49.6816
1G031207+001026	                    	031.207	+00.103	 0.789	  0.755	 1.304	 0.50	 0.52	 0.293	  0	 0.13	 0.003	   	281.9811	-01.4881
1G028482+003362	                    	028.482	+00.336	 2.029	  2.126	 3.293	 1.32	 1.26	 0.298	 40	 0.13	 0.004	   	280.5276	-03.8059
1G339832+006472	                    	339.832	+00.647	 2.454	  2.702	 3.402	 1.51	 0.95	 0.418	 56	 0.13	 0.010	   	250.8932	-44.9520
1G010931+000683	                    	010.931	+00.068	 1.579	  1.483	 2.678	 1.00	 1.10	 0.343	 36	 0.13	 0.003	   	272.3574	-19.4429
1G296247-008678	                    	296.247	-00.868	 0.510	  0.557	 0.837	 0.34	 0.33	 0.401	  3	 0.13	 0.001	   	178.0211	-62.9668
1G303540+000848	                    	303.540	+00.085	 1.153	  1.163	 1.849	 0.73	 0.70	 0.130	 23	 0.13	 0.004	   	194.1890	-62.7805
1G036876+006643	                    	036.876	+00.664	 2.388	  2.390	 4.014	 1.55	 1.63	 0.042	 30	 0.13	 0.006	   	284.0682	+03.8128
1G005261+001339	                    	005.261	+00.134	 2.118	  2.066	 3.736	 1.39	 1.62	 0.221	 43	 0.13	 0.006	2  	269.2851	-24.3454
1G000174+006301	                    	000.174	+00.630	12.080	 14.504	15.496	 7.45	 3.42	 0.553	 17	 0.13	 0.059	   	265.8965	-28.4585
1G044599-009717	                    	044.599	-00.972	 0.762	  0.757	 1.273	 0.49	 0.51	 0.121	 18	 0.13	 0.002	   	289.1127	+09.9167
1G295844+000648	                    	295.844	+00.065	 8.409	  8.627	11.039	 4.87	 2.63	 0.223	  5	 0.13	 0.013	   	177.6387	-61.9660
1G009662+005892	                    	009.662	+00.589	 0.861	  0.756	 1.446	 0.53	 0.59	 0.478	 11	 0.13	 0.001	   	271.2164	-20.2976
1G035573+000703	                    	035.573	+00.070	 0.550	  0.586	 0.995	 0.38	 0.45	 0.347	 11	 0.13	 0.001	   	284.0021	+02.3823
1G030443-000070	                    	030.443	-00.007	 1.183	  1.174	 1.792	 0.73	 0.61	 0.124	 21	 0.13	 0.004	   	281.7302	-02.2182
1G023762+005061	                    	023.762	+00.506	 4.316	  3.892	 6.440	 2.53	 2.12	 0.432	 28	 0.13	 0.018	   	278.1962	-07.9205
1G035644-001054	N68                 	035.644	-00.105	 4.090	  4.610	 5.588	 2.52	 1.50	 0.461	 15	 0.13	 0.011	   	284.1904	+02.3656
1G043741+004719	                    	043.741	+00.472	 1.631	  1.483	 2.432	 0.96	 0.80	 0.416	 31	 0.13	 0.006	   	287.4103	+09.8260
1G055761-002921	                    	055.761	-00.292	14.169	 16.146	20.670	 9.06	 6.50	 0.480	  2	 0.13	 0.029	   	293.9970	+20.0581
1G350871-007034	                    	350.871	-00.703	 1.969	  1.851	 3.108	 1.21	 1.14	 0.342	 37	 0.13	 0.003	   	261.2193	-36.9968
1G312863+008973	                    	312.863	+00.897	 3.981	  3.736	 5.582	 2.30	 1.60	 0.345	 46	 0.13	 0.010	   	213.2859	-60.3898
1G027511+002096	                    	027.511	+00.210	 0.837	  0.859	 1.432	 0.55	 0.59	 0.222	 28	 0.13	 0.002	2  	280.1944	-04.7269
1G024952-000498	                    	024.952	-00.050	 1.650	  1.638	 2.620	 1.04	 0.97	 0.118	  0	 0.13	 0.005	   	279.2468	-07.1202
1G036611-002112	                    	036.611	-00.211	 1.451	  1.913	 2.131	 1.00	 0.68	 0.652	126	 0.13	 0.007	   	284.7269	+03.1775
1G037489+005237	                    	037.489	+00.524	 0.924	  0.671	 1.588	 0.54	 0.66	 0.687	  0	 0.13	 0.003	   	284.4736	+04.2943
1G316614+008934	                    	316.614	+00.893	 3.933	  4.107	 5.921	 2.46	 1.99	 0.288	 36	 0.13	 0.008	   	220.2289	-59.0394
1G006810+000110	                    	006.810	+00.011	 2.824	  2.551	 3.939	 1.60	 1.12	 0.428	 14	 0.13	 0.008	   	270.2451	-23.0640
1G298184-007855	                    	298.184	-00.786	 0.723	  0.713	 1.182	 0.46	 0.46	 0.166	  0	 0.13	 0.002	   	182.2576	-63.2661
1G311760+004832	                    	311.760	+00.483	 1.796	  2.111	 2.555	 1.15	 0.76	 0.526	 11	 0.13	 0.003	   	211.3817	-61.1124
1G342304+005806	                    	342.304	+00.581	 1.850	  0.848	 2.752	 0.87	 0.90	 0.889	 28	 0.13	 0.005	   	253.1805	-43.1052
1G038629+008115	                    	038.629	+00.811	 0.733	  0.770	 1.252	 0.49	 0.52	 0.306	 11	 0.13	 0.003	   	284.7398	+05.4394
1G309558+009056	                    	309.558	+00.906	 4.105	  5.198	 5.215	 2.59	 1.11	 0.613	 43	 0.13	 0.005	   	206.7381	-61.2495
1G317121-005837	                    	317.121	-00.584	 1.465	  1.698	 2.166	 0.95	 0.70	 0.506	  6	 0.13	 0.005	   	222.3738	-60.1624
1G326227-000472	                    	326.227	-00.047	 2.193	  2.205	 2.963	 1.28	 0.77	 0.103	  0	 0.13	 0.006	   	236.2672	-54.8662
1G310717+008090	                    	310.717	+00.809	 2.730	  2.808	 4.318	 1.74	 1.59	 0.234	 69	 0.13	 0.009	   	209.1223	-61.0757
1G027358+000611	                    	027.358	+00.061	 0.709	  0.678	 1.134	 0.44	 0.43	 0.290	  3	 0.13	 0.002	   	280.2571	-04.9312
1G035704-008343	                    	035.704	-00.834	 0.758	  0.745	 1.356	 0.50	 0.60	 0.188	  2	 0.13	 0.001	2  	284.8668	+02.0861
1G333561-008653	                    	333.561	-00.865	 0.621	  0.621	 1.250	 0.44	 0.63	 0.000	  0	 0.13	 0.002	   	246.2191	-50.5894
1G311935+002041	                    	311.935	+00.204	 0.485	  0.483	 1.121	 0.37	 0.64	 0.101	  0	 0.13	 0.001	2  	211.8960	-61.3296
1G319596-006635	                    	319.596	-00.664	 0.599	  0.599	 1.103	 0.41	 0.50	 0.000	  0	 0.13	 0.002	   	226.7735	-59.0747
1G296434-008869	                    	296.434	-00.887	 1.132	  0.702	 1.865	 0.61	 0.73	 0.784	 20	 0.13	 0.005	   	178.4129	-63.0274
1G039596+005613	                    	039.596	+00.561	 0.450	  0.450	 0.809	 0.30	 0.36	 0.000	 60	 0.13	 0.001	   	285.4076	+06.1851
1G359208-003174	                    	359.208	-00.317	 0.863	  0.936	 1.454	 0.58	 0.59	 0.388	 21	 0.13	 0.002	2  	266.2413	-29.7772
1G061617-007371	                    	061.617	-00.737	10.577	 11.609	14.967	 6.55	 4.39	 0.412	 27	 0.13	 0.037	   	297.5699	+24.9160
1G341696-000863	                    	341.696	-00.086	 0.812	  0.841	 1.278	 0.52	 0.47	 0.259	  0	 0.13	 0.003	   	253.3616	-43.9981
1G345072-007685	S13                 	345.072	-00.769	12.062	 11.767	19.310	 7.55	 7.25	 0.220	 51	 0.13	 0.078	1  	256.9335	-41.7585
1G336912+000568	                    	336.912	+00.057	 1.424	  1.438	 2.322	 0.91	 0.90	 0.139	 17	 0.13	 0.010	2  	248.7177	-47.5233
1G331658+001312	                    	331.658	+00.131	 1.993	  2.047	 3.040	 1.24	 1.05	 0.227	 13	 0.12	 0.003	   	242.9569	-51.2066
1G347784+001552	                    	347.784	+00.155	 3.477	  3.406	 5.026	 2.07	 1.55	 0.200	 49	 0.12	 0.014	1  	258.0740	-39.0282
1G028816+001936	                    	028.816	+00.194	 0.650	  0.633	 1.232	 0.44	 0.58	 0.224	 13	 0.12	 0.002	   	280.8072	-03.5738
1G330027-004975	                    	330.027	-00.497	 1.799	  1.441	 2.936	 1.06	 1.14	 0.599	 32	 0.12	 0.006	   	241.6960	-52.7724
1G324012+001006	                    	324.012	+00.101	 4.214	  3.988	 5.802	 2.42	 1.59	 0.323	 17	 0.12	 0.015	1  	232.9652	-56.0601
1G328139+006549	                    	328.139	+00.655	 0.556	  0.564	 0.913	 0.36	 0.36	 0.173	  0	 0.12	 0.001	   	238.0724	-53.1275
1G302739-006172	                    	302.739	-00.617	 0.576	  0.577	 1.227	 0.42	 0.65	 0.055	  0	 0.12	 0.002	   	192.4273	-63.4881
1G336457+000318	                    	336.457	+00.032	 2.434	  2.302	 3.484	 1.42	 1.05	 0.325	 17	 0.12	 0.012	   	248.2864	-47.8746
1G035595-000291	                    	035.595	-00.029	 1.183	  1.437	 1.876	 0.81	 0.69	 0.567	 86	 0.12	 0.006	2  	284.1003	+02.3567
1G012060-002856	                    	012.060	-00.286	 0.896	  0.945	 1.314	 0.55	 0.42	 0.317	 17	 0.12	 0.004	   	273.2609	-18.6241
1G327555-008032	S73,S74             	327.555	-00.803	 5.422	  5.052	 9.895	 3.57	 4.47	 0.363	 64	 0.12	 0.021	1  	238.8812	-54.6241
1G010262-003984	                    	010.262	-00.398	 1.132	  1.166	 1.940	 0.75	 0.81	 0.239	 29	 0.12	 0.005	   	272.4469	-20.2538
1G017121+005604	                    	017.121	+00.560	 1.326	  1.584	 2.618	 1.00	 1.29	 0.547	  1	 0.12	 0.006	   	274.9930	-13.7698
1G048707-001760	                    	048.707	-00.176	 1.729	  1.976	 2.519	 1.11	 0.79	 0.485	104	 0.12	 0.003	   	290.3597	+13.9191
1G299081+000626	                    	299.081	+00.063	 2.812	  2.879	 3.748	 1.64	 0.94	 0.214	 10	 0.12	 0.005	   	184.4799	-62.5579
1G341702+000525	                    	341.702	+00.052	 0.749	  0.761	 1.334	 0.50	 0.59	 0.182	  0	 0.12	 0.001	   	253.2185	-43.9061
1G048639+006055	                    	048.639	+00.605	 0.618	  0.652	 1.121	 0.43	 0.50	 0.319	 17	 0.12	 0.003	   	289.6158	+14.2255
1G019641-000877	                    	019.641	-00.088	 1.049	  1.001	 1.758	 0.67	 0.71	 0.298	 51	 0.12	 0.003	2  	276.7912	-11.8473
1G018068-002989	                    	018.068	-00.299	 0.668	  0.678	 1.152	 0.44	 0.48	 0.169	  4	 0.12	 0.002	   	276.2306	-13.3371
1G333000-008146	                    	333.000	-00.815	 4.555	  4.196	 6.916	 2.71	 2.36	 0.389	 15	 0.12	 0.023	   	245.5392	-50.9531
1G007586-007583	                    	007.586	-00.758	 2.042	  2.679	 3.492	 1.50	 1.45	 0.647	 62	 0.12	 0.004	   	271.3865	-22.7672
1G020529-001853	                    	020.529	-00.185	 1.253	  1.281	 1.675	 0.73	 0.42	 0.210	  2	 0.12	 0.003	   	277.3000	-11.1062
1G305602+000238	                    	305.602	+00.024	 0.689	  0.702	 1.059	 0.43	 0.37	 0.190	  0	 0.12	 0.001	   	198.6943	-62.7267
1G000515-007049	                    	000.515	-00.705	 5.411	  5.280	 7.902	 3.24	 2.49	 0.219	 19	 0.12	 0.036	   	267.3985	-28.8603
1G302635+000474	                    	302.635	+00.047	17.198	 16.625	23.309	 9.87	 6.11	 0.256	 36	 0.12	 0.083	1  	192.2094	-62.8232
1G338050-001584	S34                 	338.050	-00.158	 6.968	  6.293	11.096	 4.22	 4.13	 0.429	 26	 0.12	 0.046	1  	250.0740	-46.8224
1G037644-001139	                    	037.644	-00.114	 4.044	  3.917	 5.808	 2.39	 1.76	 0.248	 26	 0.12	 0.027	1  	285.1136	+04.1406
1G019611-000844	                    	019.611	-00.084	 0.843	  0.818	 1.403	 0.54	 0.56	 0.239	 14	 0.12	 0.004	2  	276.7733	-11.8720
1G355133-004133	CS38                	355.133	-00.413	12.613	 13.048	20.780	 8.21	 8.17	 0.256	 26	 0.12	 0.045	1  	263.7961	-33.2806
1G305849+006186	                    	305.849	+00.619	 1.960	  1.871	 2.815	 1.15	 0.85	 0.299	  6	 0.12	 0.006	   	199.1051	-62.1112
1G329510+003503	                    	329.510	+00.350	 1.462	  1.569	 2.394	 0.96	 0.93	 0.363	 35	 0.12	 0.006	   	240.1339	-52.4798
1G036734-003015	                    	036.734	-00.301	 2.616	  2.682	 4.490	 1.73	 1.87	 0.221	 36	 0.12	 0.010	1  	284.8634	+03.2458
1G342364+001060	                    	342.364	+00.106	 1.190	  1.149	 1.712	 0.70	 0.52	 0.259	 17	 0.12	 0.004	   	253.7381	-43.3586
1G001054+000085	                    	001.054	+00.009	 1.129	  1.120	 1.784	 0.71	 0.65	 0.126	  4	 0.12	 0.004	2  	267.0184	-28.0305
1G333093-003676	                    	333.093	-00.368	 1.086	  1.102	 1.801	 0.70	 0.71	 0.168	  7	 0.12	 0.002	   	245.1445	-50.5709
1G043306-000863	                    	043.306	-00.086	 0.625	  0.684	 1.182	 0.45	 0.56	 0.404	 35	 0.12	 0.002	   	287.7085	+09.1825
1G298756+004912	                    	298.756	+00.491	 3.518	  3.926	 5.182	 2.24	 1.66	 0.444	 73	 0.12	 0.008	   	183.9100	-62.0902
1G037493+005289	                    	037.493	+00.529	 1.538	  1.460	 2.603	 0.98	 1.07	 0.314	 13	 0.12	 0.005	   	284.4709	+04.3001
1G052822-008612	                    	052.822	-00.861	 0.622	  0.613	 1.179	 0.43	 0.56	 0.174	 14	 0.12	 0.001	   	293.0189	+17.2117
1G328114+005732	                    	328.114	+00.573	 2.189	  2.391	 3.578	 1.45	 1.39	 0.403	 19	 0.12	 0.008	1  	238.1265	-53.2069
1G327163-006609	                    	327.163	-00.661	 1.632	  1.629	 2.920	 1.09	 1.29	 0.064	 18	 0.12	 0.005	   	238.2018	-54.7642
1G349059+006731	                    	349.059	+00.673	 0.733	  0.854	 1.358	 0.53	 0.62	 0.512	 71	 0.12	 0.002	   	258.4942	-37.6921
1G011906+005228	                    	011.906	+00.523	 2.664	  2.053	 4.084	 1.49	 1.42	 0.637	 51	 0.12	 0.013	   	272.4350	-18.3695
